,0,1,2,3,4
Cash Management,13-2000,11-3000,41-1000,11-9000,41-2000
Cash Register Operation,41-2000,43-4000,35-3000,41-1000,99-9000
Chemical and Biomedical Engineering,17-2000,11-9000,15-1200,99-9000,19-2000
Chemistry,19-2000,29-2000,11-9000,19-4000,19-1000
Child Care,39-9000,25-2000,29-1000,25-9000,29-2000
Childhood Education and Development,25-2000,21-1000,29-1000,25-9000,11-9000
Circuitry,17-2000,17-3000,49-9000,15-1200,51-2000
Civil and Architectural Engineering,17-2000,11-9000,99-9000,13-1000,15-1200
Clean Energy,17-2000,11-9000,15-1200,51-9000,99-9000
Cleaning and Janitorial Services,37-2000,31-1100,53-7000,41-2000,51-9000
Client Support,15-1200,41-4000,43-4000,11-2000,13-1000
Climate Change,99-9000,11-9000,35-1000,13-1000,17-2000
Clinical Informatics,29-1000,29-2000,11-9000,43-6000,15-1200
Clinical Trials,11-9000,15-2000,29-1000,19-1000,29-2000
Cloud Computing,15-1200,11-9000,13-1000,17-2000,99-9000
Cloud Solutions,15-1200,41-4000,11-2000,13-1000,11-9000
Coaching and Athletic Training,39-9000,27-2000,11-9000,25-2000,29-9000
Collaborative Software,15-1200,13-1000,11-9000,99-9000,11-2000
Commercial Lending,13-2000,41-3000,43-4000,99-9000,11-3000
Communication,15-1200,13-1000,11-9000,41-4000,99-9000
Community and Social Work,21-1000,11-9000,29-1000,99-9000,29-2000
"Company, Product, and Service Knowledge",41-2000,41-4000,41-1000,15-1200,11-2000
Compensation and Benefits,13-1000,11-3000,11-9000,99-9000,15-1200
Computer Hardware,15-1200,17-2000,99-9000,49-9000,43-4000
Computer Science,15-1200,13-1000,99-9000,15-2000,11-9000
Computer-Aided Manufacturing,51-9000,51-4000,17-2000,17-3000,15-1200
Concrete and Masonry,47-2000,49-9000,17-2000,11-9000,99-9000
Configuration Management,15-1200,17-2000,13-1000,99-9000,11-9000
Conservation,17-2000,11-9000,19-2000,19-1000,99-9000
Construction Estimating,13-1000,11-9000,17-2000,15-1200,99-9000
Construction Inspection,11-9000,17-2000,15-1200,49-9000,13-1000
Construction Management,11-9000,13-1000,17-2000,47-2000,53-7000
Construction Painting,49-9000,47-2000,41-2000,49-3000,53-7000
Content Development and Management,13-1000,11-2000,27-3000,15-1200,99-9000
Content Management Systems,15-1200,13-1000,11-2000,27-3000,99-9000
Contract Management,13-1000,11-9000,15-1200,11-3000,13-2000
Cost Accounting,11-3000,13-2000,11-9000,13-1000,15-1200
Counseling Services,21-1000,11-9000,15-1200,13-1000,11-3000
Creative Design,15-1200,27-1000,11-2000,13-1000,11-9000
Criminal Investigation and Forensics,15-1200,33-9000,13-1000,33-3000,99-9000
Critical Thinking and Problem Solving,15-1200,13-1000,11-9000,99-9000,11-2000
Cryptocurrency,15-1200,13-1000,13-2000,11-9000,99-9000
Customer Relationship Management (CRM),41-4000,15-1200,11-2000,13-1000,43-4000
Customer Service,43-4000,41-2000,41-4000,11-9000,15-1200
Cybersecurity,15-1200,13-1000,99-9000,11-9000,11-3000
Dance,25-3000,39-9000,27-2000,25-1000,27-1000
Data Analysis,15-1200,13-1000,15-2000,13-2000,11-9000
Data Collection,15-1200,15-2000,11-9000,13-1000,99-9000
Data Management,15-1200,15-2000,13-1000,11-9000,99-9000
Data Science,15-1200,15-2000,13-1000,99-9000,11-9000
Data Storage,15-1200,15-2000,13-1000,11-9000,99-9000
Data Visualization,15-1200,15-2000,13-1000,99-9000,11-9000
Database Architecture and Administration,15-1200,15-2000,13-1000,99-9000,11-9000
Databases,15-1200,15-2000,13-1000,99-9000,11-9000
Dermatology,29-1000,31-9000,29-2000,39-5000,11-9000
Dictation,43-6000,29-2000,29-1000,43-9000,31-9000
Digital Design,15-1200,27-1000,99-9000,13-1000,11-2000
Digital Marketing,13-1000,11-2000,15-1200,41-4000,99-9000
Disaster Management,11-9000,43-4000,33-9000,29-2000,41-1000
Distributed Computing,15-1200,15-2000,13-1000,11-9000,17-2000
Document Management,11-9000,15-1200,43-4000,13-1000,99-9000
Drafting and Engineering Design,17-2000,17-3000,15-1200,49-9000,27-1000
E-Commerce,15-1200,13-1000,11-2000,41-4000,11-9000
"Ear, Nose, and Throat",29-1000,29-2000,11-9000,25-2000,31-9000
Earth and Space Science,17-2000,19-2000,15-1200,11-9000,11-2000
Ecology,19-1000,11-9000,99-9000,47-4000,19-4000
Economics,13-2000,13-1000,99-9000,15-2000,11-3000
Education Administration,11-9000,25-1000,25-2000,21-1000,99-9000
Education Software and Technology,13-1000,25-9000,15-1200,11-9000,25-1000
Electrical Construction,49-9000,47-2000,17-2000,17-3000,11-9000
Electrical Power,17-2000,17-3000,49-9000,15-1200,47-2000
Electrical and Computer Engineering,15-1200,17-2000,17-3000,49-9000,99-9000
Electromechanical Engineering,17-3000,49-9000,17-2000,15-1200,51-2000
Electronic Hardware,17-2000,17-3000,49-9000,15-1200,47-2000
Electronic Trading,15-1200,99-9000,41-3000,13-2000,17-2000
Electronics Engineering,17-2000,49-9000,17-3000,15-1200,99-9000
Electronics Manufacturing,17-2000,17-3000,51-2000,51-9000,15-1200
"Elements, Compounds, and Materials",17-2000,51-9000,51-4000,17-3000,47-2000
Emergency Services,33-9000,11-9000,29-2000,29-1000,15-1200
Emergency and Intensive Care,29-1000,29-2000,31-1100,11-9000,31-9000
Employee Relations,13-1000,11-3000,11-9000,99-9000,11-1000
Employee Training,11-9000,13-1000,11-3000,41-1000,15-1200
Endocrinology,29-1000,39-9000,11-9000,21-1000,29-2000
Energy Efficiency,17-2000,11-9000,49-9000,47-4000,43-4000
Energy Management,17-2000,49-9000,11-9000,15-1200,13-1000
Engineering Practices,15-1200,17-2000,11-9000,13-1000,99-9000
Engineering Software,17-2000,17-3000,15-1200,27-1000,99-9000
"Engineering, Other",17-2000,11-9000,15-1200,13-1000,17-3000
"Engineering, Scientific, and Technical Instruments",51-9000,17-3000,51-4000,49-9000,17-2000
Enterprise Application Management,15-1200,13-1000,11-2000,11-9000,41-4000
Enterprise Information Management,15-1200,13-1000,11-9000,15-2000,99-9000
Environment and Resource Management,15-1200,11-9000,13-1000,17-2000,99-9000
Environmental Engineering and Restoration,17-2000,11-9000,13-1000,99-9000,19-2000
Environmental Geology,17-2000,19-2000,99-9000,19-4000,11-9000
Environmental Regulations,17-2000,11-9000,19-2000,11-3000,13-1000
Equipment Repair and Maintenance,49-9000,17-3000,49-3000,49-1000,11-9000
Events and Conferences,13-1000,11-9000,43-6000,11-2000,99-9000
Extensible Languages and XML,15-1200,13-1000,99-9000,15-2000,11-3000
"Extraction, Transformation, and Loading (ETL)",15-1200,15-2000,13-1000,11-9000,99-9000
Eye Care,29-1000,29-2000,11-9000,41-2000,33-9000
Facility Management and Maintenance,49-9000,11-3000,11-9000,13-1000,11-1000
Financial Accounting,13-2000,43-6000,11-3000,43-3000,11-9000
Financial Advisement,41-3000,13-2000,11-9000,11-3000,99-9000
Financial Analysis,13-2000,11-3000,15-1200,13-1000,11-9000
Financial Management,13-2000,11-9000,11-3000,11-2000,11-1000
Financial Modeling,13-2000,11-2000,41-4000,11-3000,99-9000
Financial Regulation,13-2000,13-1000,41-3000,99-9000,15-1200
Financial Reporting,13-2000,11-3000,43-3000,11-9000,99-9000
Financial Trading,13-2000,15-1200,99-9000,13-1000,11-3000
"Fire Prevention, Safety, and Control",11-9000,49-9000,33-9000,17-2000,33-2000
Firmware,15-1200,17-2000,99-9000,11-9000,13-1000
First Aid,29-1000,29-2000,31-1100,39-9000,25-2000
Food Science and Processing,11-3000,51-9000,35-2000,51-3000,11-9000
Food and Beverage,35-3000,35-2000,11-9000,35-1000,35-9000
Forestry,45-4000,99-9000,29-2000,19-1000,11-9000
Fundraising and Crowdsourcing,11-2000,11-9000,13-1000,99-9000,11-3000
Funeral and Mortuary Services,11-9000,99-9000,21-2000,43-6000,21-1000
Gastroenterology,29-1000,31-1100,29-2000,11-9000,31-9000
General Accounting,13-2000,11-3000,43-3000,11-9000,99-9000
General Construction and Construction Labor,11-9000,47-2000,49-9000,13-1000,17-2000
General Finance,13-2000,11-3000,15-1200,13-1000,99-9000
General Lending,13-2000,41-3000,43-4000,99-9000,11-3000
General Medical Tests and Procedures,29-2000,29-1000,31-9000,31-1100,11-9000
General Medicine,29-1000,29-2000,21-1000,11-9000,31-9000
General Networking,15-1200,99-9000,13-1000,11-9000,17-2000
General Repairs and Maintenance,49-9000,49-3000,17-3000,15-1200,49-1000
General Sales Practices,41-4000,41-2000,11-2000,13-1000,41-1000
General Science and Research,15-1200,13-1000,11-9000,99-9000,15-2000
General Shipping and Receiving,53-7000,43-5000,51-9000,99-9000,43-4000
Genetic Disorders,29-9000,29-1000,11-9000,41-4000,19-1000
Genetics,15-2000,19-1000,29-2000,11-9000,15-1200
Geological Engineering,17-2000,11-9000,13-1000,99-9000,15-1200
Geospatial Information and Technology,15-1200,17-2000,99-9000,53-3000,13-1000
Geriatrics,29-1000,29-2000,31-1100,11-9000,31-9000
Government Assistance,11-9000,13-1000,15-1200,29-1000,21-1000
Graphic and Visual Design,27-1000,15-1200,13-1000,99-9000,11-2000
Graphic and Visual Design Software,27-1000,15-1200,13-1000,99-9000,11-2000
Green Architecture,17-2000,15-1200,11-9000,13-1000,17-1000
Ground Freight Transportation,53-3000,53-7000,41-4000,43-5000,99-9000
Ground Passenger Transportation,53-3000,33-3000,49-3000,11-9000,99-9000
Groundskeeping and Yard Care,37-3000,49-9000,37-2000,53-7000,41-4000
HVAC,49-9000,49-3000,17-2000,49-1000,11-9000
Hand Tools,49-9000,51-2000,53-7000,51-9000,47-2000
Hardware Description Languages (HDL),17-2000,15-1200,13-1000,99-9000,27-1000
Hazardous Materials Management,53-3000,29-2000,29-1000,11-9000,53-7000
Health Care Administration,29-1000,29-2000,11-9000,31-9000,43-6000
Health Care Procedure and Regulation,29-1000,29-2000,11-9000,31-1100,13-1000
Health Information Management and Medical Records,29-1000,29-2000,31-9000,11-9000,43-6000
Heavy Equipment Operation,53-7000,53-3000,51-9000,49-9000,43-5000
Hematology,29-1000,29-2000,31-1100,31-9000,11-9000
Hepatology,29-1000,31-1100,29-2000,11-9000,25-1000
Higher Education,11-9000,13-1000,99-9000,25-1000,21-1000
Home Health Care and Assisted Living,31-1100,29-1000,29-2000,11-9000,21-1000
Hospitality Services,43-4000,35-9000,11-9000,43-6000,35-3000
Hotels and Accommodations,43-4000,11-9000,37-2000,11-1000,35-3000
Human Resources Management and Planning,13-1000,11-3000,11-9000,15-1200,99-9000
Human Resources Software,13-1000,11-3000,15-1200,99-9000,11-9000
IT Automation,15-1200,17-2000,99-9000,13-1000,11-9000
IT Management,15-1200,13-1000,11-9000,99-9000,11-3000
Identity and Access Management,15-1200,13-1000,11-9000,99-9000,27-3000
Image Analysis,15-1200,17-2000,15-2000,99-9000,11-9000
Immunology,29-2000,29-1000,11-9000,19-1000,31-9000
Industrial Design,15-1200,27-1000,17-2000,11-2000,11-9000
Industrial Engineering,17-2000,15-1200,11-9000,99-9000,13-1000
Industry Specific Marketing,11-2000,13-1000,41-4000,11-9000,27-3000
Infectious Diseases,29-1000,29-2000,31-1100,11-9000,31-9000
Initiative and Leadership,11-9000,15-1200,13-1000,11-2000,11-3000
Injury Treatment,29-1000,29-2000,11-9000,31-9000,31-1100
Instructional and Curriculum Design,25-2000,11-9000,25-9000,25-1000,13-1000
Insulation,47-2000,51-9000,11-9000,39-3000,49-9000
Insurance,41-3000,13-2000,13-1000,43-4000,41-4000
Insurance and Warranty Claims Processing,13-1000,99-9000,43-9000,43-4000,11-9000
Integrated Development Environments (IDEs),15-1200,13-1000,99-9000,15-2000,11-9000
Intelligence Collection and Analysis,15-1200,11-9000,99-9000,13-1000,33-3000
Interior Design,27-1000,11-9000,99-9000,13-1000,37-2000
Internal Controls,13-2000,11-3000,15-1200,11-9000,13-1000
Internet of Things (IoT),15-1200,41-4000,11-2000,27-1000,99-9000
Inventory and Warehousing,53-7000,43-5000,41-2000,99-9000,41-1000
Investment Management,13-2000,99-9000,15-1200,11-3000,11-2000
Java,15-1200,99-9000,13-1000,15-2000,17-2000
JavaScript and jQuery,15-1200,99-9000,11-9000,13-1000,17-2000
Journalism,27-3000,11-2000,13-1000,99-9000,27-2000
Labor Compliance,13-1000,41-2000,11-3000,11-9000,23-1000
Laboratory Research,29-2000,31-9000,19-1000,11-9000,15-2000
Landscaping and Horticulture,37-3000,49-9000,37-2000,11-9000,45-4000
Language Competency,43-4000,11-9000,13-1000,29-1000,41-4000
"Language Interpretation, Translation, and Studies",27-3000,25-2000,15-1200,11-9000,13-1000
Law Enforcement and Criminal Justice,33-9000,33-3000,11-9000,21-1000,29-1000
Lean Manufacturing,17-2000,11-3000,15-1200,11-9000,13-1000
Legal Proceedings,23-2000,23-1000,13-1000,11-9000,29-1000
Legal Support,23-2000,23-1000,43-6000,15-1200,13-1000
Library and Archiving,25-4000,15-1200,99-9000,13-1000,53-3000
Literature and Literary Studies,15-2000,11-9000,99-9000,19-4000,27-3000
Litigation and Civil Justice,23-1000,23-2000,13-1000,11-9000,15-1200
Livestock Farming,39-2000,29-2000,31-9000,11-9000,19-1000
Log Management,15-1200,99-9000,17-2000,13-1000,53-3000
Logistics,43-5000,13-1000,11-3000,99-9000,41-4000
Machinery,51-9000,49-9000,17-3000,51-4000,53-7000
Mainframe Technologies,15-1200,13-1000,99-9000,43-3000,25-2000
Malware Protection,15-1200,99-9000,13-1000,11-9000,33-9000
Manufacturing Design,17-2000,15-1200,17-3000,11-9000,51-9000
Manufacturing Processes,51-9000,17-2000,51-4000,17-3000,49-9000
Manufacturing Standards,51-9000,17-2000,53-7000,11-3000,15-1200
Marine and Naval Engineering,17-2000,25-2000,99-9000,11-2000,15-1200
Market Analysis,11-2000,13-1000,41-4000,15-1200,11-9000
Marketing Software,15-1200,11-2000,13-1000,99-9000,15-2000
Marketing Strategy and Techniques,11-2000,13-1000,41-4000,11-9000,15-1200
Material Handling,53-7000,53-3000,41-2000,99-9000,51-9000
Materials Science and Engineering,17-2000,11-9000,15-1200,51-9000,11-2000
Mathematical Software,15-1200,15-2000,17-2000,99-9000,13-1000
Mathematics and Mathematical Modeling,53-7000,41-2000,51-9000,43-4000,11-9000
Mechanical Engineering,17-2000,49-9000,49-3000,17-3000,99-9000
Media Production,15-1200,27-1000,27-3000,13-1000,11-2000
Medical Billing and Coding,29-2000,29-1000,11-9000,43-3000,13-1000
Medical Equipment and Technology,29-1000,29-2000,11-9000,31-1100,15-1200
Medical Imaging,29-2000,29-1000,31-9000,31-2000,11-9000
Medical Science and Research,29-2000,11-9000,29-1000,15-2000,19-1000
Medical Support,31-9000,29-2000,31-1100,29-1000,31-2000
Mental Health Diseases and Disorders,21-1000,31-1100,29-1000,29-2000,11-9000
Mental Health Therapies,21-1000,29-1000,11-9000,19-3000,29-2000
Mental and Behavioral Health Specialties,29-1000,21-1000,11-9000,19-3000,29-2000
Merchandising,41-2000,41-1000,53-7000,27-1000,99-9000
Mergers and Acquisitions,13-2000,11-3000,11-9000,15-1200,13-1000
Metal Fabrication,51-4000,51-9000,17-2000,49-9000,17-3000
Micro Manufacturing,17-2000,15-1200,11-9000,51-2000,99-9000
Microsoft Development Tools,15-1200,99-9000,13-1000,11-9000,15-2000
Microsoft Windows,15-1200,99-9000,13-1000,11-9000,49-9000
Middleware,15-1200,13-1000,99-9000,11-9000,41-2000
Military Operations,33-9000,35-9000,15-1200,11-9000,13-1000
Military Technology and Weapons,55-9000,15-1200,33-9000,13-1000,33-3000
Mining Engineering,17-2000,47-2000,41-3000,49-3000,11-9000
Mobile Development,15-1200,27-1000,13-1000,99-9000,11-2000
Mobility Assistance,31-2000,31-1100,29-1000,29-2000,53-3000
"Molecular, Cellular, and Microbiology",19-1000,29-2000,15-2000,11-9000,19-4000
Mortgage Lending,13-2000,41-3000,43-4000,11-3000,99-9000
Music,25-3000,27-2000,25-1000,25-2000,99-9000
Natural Gas,17-2000,99-9000,11-9000,13-1000,49-9000
Natural Language Processing (NLP),15-2000,15-1200,99-9000,11-9000,13-1000
Nephrology,29-1000,31-1100,29-2000,11-9000,21-1000
Network Protocols,15-1200,99-9000,13-1000,17-2000,11-9000
Network Security,15-1200,99-9000,11-9000,13-1000,17-2000
Networking Hardware,15-1200,49-9000,17-3000,17-2000,99-9000
Networking Software,15-1200,99-9000,17-2000,13-1000,11-9000
Neurology,29-1000,29-2000,11-9000,31-1100,25-1000
Neuroscience,25-1000,15-1200,11-9000,15-2000,19-1000
Nuclear Energy,29-2000,17-2000,11-9000,99-9000,19-2000
Nuclear Medicine,29-2000,29-1000,11-9000,15-1200,17-2000
Nursing and Patient Care,29-1000,29-2000,31-1100,11-9000,21-1000
Nutrition and Diet,29-1000,11-9000,29-2000,35-3000,31-1100
Obstetrics and Gynecology (OBGYN),29-1000,29-2000,31-9000,11-9000,21-1000
Occupational Health and Safety,35-3000,11-9000,53-7000,41-2000,35-2000
Office Management,43-6000,43-4000,43-1000,43-9000,11-9000
Office and Productivity Equipment and Technology,13-1000,15-1200,11-9000,99-9000,43-6000
Oil and Gas,49-3000,49-9000,53-3000,51-9000,53-7000
Oncology,29-1000,11-9000,29-2000,31-1100,31-9000
Online Advertising,13-1000,11-2000,41-4000,27-3000,99-9000
Operating Systems,15-1200,99-9000,13-1000,17-2000,11-9000
Optical Engineering,15-1200,17-2000,49-9000,11-9000,17-3000
Oral and Dental Care,29-1000,31-9000,31-1100,43-6000,29-2000
Orthopedics,29-1000,29-2000,31-9000,11-9000,31-1100
Other Programming Languages,15-1200,15-2000,99-9000,13-1000,17-2000
Pathology,29-1000,29-2000,11-9000,31-9000,31-1100
Patient Education and Support,29-1000,11-9000,29-2000,21-1000,31-9000
Payment Processing and Collection,43-3000,29-2000,13-2000,11-9000,99-9000
Payroll,43-3000,13-1000,11-3000,13-2000,41-1000
Pediatrics,29-1000,29-2000,31-9000,11-9000,21-1000
People Management,15-1200,11-9000,13-1000,11-2000,11-3000
Performance Management,11-9000,11-3000,41-1000,15-1200,13-1000
Personal Attributes,15-1200,13-1000,99-9000,11-9000,43-4000
Pharmacology and Drug Discovery,11-9000,29-1000,29-2000,19-1000,15-2000
Pharmacy,29-2000,29-1000,99-9000,11-9000,15-1200
Photo/Video Production and Technology,27-1000,27-4000,13-1000,99-9000,15-1200
Physical Abilities,53-7000,41-2000,99-9000,11-9000,29-1000
Physical Therapy,29-1000,31-2000,11-9000,21-1000,29-2000
Physics,15-1200,17-2000,15-2000,11-9000,99-9000
Plant Operations and Management,51-9000,53-7000,11-3000,51-1000,17-2000
Plumbing,49-9000,47-2000,41-2000,49-1000,99-9000
Poison Control,29-1000,11-9000,19-2000,47-4000,31-9000
"Policy Analysis, Research, and Development",11-9000,29-1000,15-1200,21-1000,13-1000
Power Generation,17-2000,51-8000,49-9000,15-1200,51-2000
Power Tools,49-9000,51-2000,47-2000,53-7000,17-3000
Presentation Design,43-6000,27-1000,15-1200,13-1000,99-9000
Pricing Analysis,11-2000,13-1000,13-2000,11-3000,11-9000
Process Engineering,17-2000,15-1200,13-1000,11-9000,51-9000
Process Improvement and Optimization,15-1200,13-1000,11-9000,11-3000,99-9000
Procurement,13-1000,11-3000,11-9000,15-1200,11-2000
Product Development,15-1200,11-2000,17-2000,13-1000,11-9000
Product Inspection,51-9000,53-7000,17-2000,19-4000,51-2000
Product Management,11-2000,15-1200,13-1000,11-9000,11-3000
Production and Assembly,51-2000,51-9000,53-7000,51-4000,49-9000
Program Management,11-9000,15-1200,13-1000,11-2000,11-3000
Project Management,15-1200,13-1000,11-9000,11-2000,11-3000
Promotions and Campaigns,11-2000,13-1000,41-4000,11-9000,99-9000
Property Law,23-1000,23-2000,11-9000,99-9000,15-1200
Property Management,11-9000,41-9000,13-2000,43-4000,11-3000
Prospecting and Qualification,41-4000,11-2000,13-1000,41-3000,15-1200
Public Health and Disease Prevention,29-1000,11-9000,21-1000,29-2000,99-9000
Public Relations,11-2000,13-1000,27-3000,11-9000,99-9000
Pulmonology,29-1000,29-2000,31-1100,31-9000,11-9000
Quality Assurance and Control,15-1200,11-9000,11-3000,17-2000,13-1000
Query Languages,15-1200,15-2000,13-1000,99-9000,13-2000
Radio Frequency (RF),17-2000,53-7000,15-1200,99-9000,27-1000
Rail Transportation,11-9000,17-2000,51-9000,11-1000,99-9000
Real Estate Development,41-9000,11-9000,13-2000,99-9000,13-1000
Real Estate Sales,41-9000,13-2000,11-9000,99-9000,23-2000
Recruitment,13-1000,11-3000,15-1200,11-9000,99-9000
Regulation and Legal Compliance,53-3000,11-9000,41-4000,13-1000,49-9000
Rehabilitation,29-1000,21-1000,31-2000,11-9000,29-2000
Religious Studies and Services,21-2000,21-1000,11-9000,25-1000,99-9000
Retail Sales,41-2000,41-1000,41-4000,99-9000,43-4000
Risk Management,13-2000,15-1200,11-9000,13-1000,11-3000
Road and Bridge Construction,17-2000,11-9000,33-9000,33-3000,13-1000
Roads and Drainage,17-2000,11-9000,49-9000,17-3000,99-9000
Robotics,17-3000,17-2000,15-1200,49-9000,11-9000
Roofing,41-4000,47-2000,49-9000,13-1000,11-9000
Safety and Security,15-1200,33-9000,11-9000,11-3000,13-1000
Safety and Surveillance Technology,33-9000,15-1200,49-9000,11-9000,11-3000
Sales Analysis,11-2000,41-4000,13-1000,41-1000,11-9000
Sales Management,41-4000,11-2000,41-1000,13-1000,11-9000
Scheduling,43-6000,11-9000,13-1000,29-2000,43-4000
Science Software,15-1200,15-2000,19-2000,19-1000,17-2000
Scripting,15-1200,99-9000,17-2000,15-2000,13-1000
Scripting Languages,15-1200,15-2000,99-9000,13-1000,17-2000
Sea and Waterway Transportation,53-5000,99-9000,43-5000,41-4000,27-2000
Search Engines,15-1200,13-1000,17-2000,99-9000,11-2000
Servers,15-1200,99-9000,17-2000,13-1000,11-9000
Signal Processing,17-2000,15-1200,17-3000,99-9000,11-9000
Simulation and Simulation Software,17-2000,15-1200,99-9000,11-9000,15-2000
Social Media,13-1000,11-2000,99-9000,27-3000,11-9000
Social Skills,15-1200,11-9000,29-1000,13-1000,99-9000
Social Studies,11-9000,29-2000,21-1000,25-1000,99-9000
Software Development,15-1200,13-1000,11-9000,99-9000,17-2000
Software Development Tools,15-1200,17-2000,99-9000,13-1000,11-9000
Software Quality Assurance,15-1200,13-1000,17-2000,99-9000,11-9000
Solar Energy,47-2000,41-4000,17-2000,11-9000,49-9000
Solution Sales Engineering,41-4000,11-2000,15-1200,41-3000,41-9000
Special Education,25-2000,21-1000,25-9000,29-1000,29-2000
Specialized Accounting,13-2000,11-3000,11-9000,43-3000,13-1000
Specialized Sales,41-4000,11-2000,41-3000,41-2000,15-1200
Speech Language Pathology,29-1000,27-3000,29-2000,11-9000,21-1000
Sports and Recreation,39-9000,27-2000,11-9000,99-9000,29-1000
Statistical Software,15-2000,15-1200,13-1000,99-9000,11-9000
Statistics,15-2000,15-1200,99-9000,13-1000,13-2000
Streaming Media Systems,15-1200,11-2000,11-9000,13-1000,99-9000
Structured Finance,13-2000,99-9000,11-3000,15-1200,13-1000
Student Support and Services,11-9000,21-1000,25-1000,25-2000,29-1000
Supplier Management,13-1000,11-3000,15-1200,11-9000,11-2000
Supply Chain Management,13-1000,11-3000,15-1200,11-9000,99-9000
Surgery,29-1000,29-2000,31-9000,11-9000,43-6000
Surveying and Cartography,17-1000,17-3000,17-2000,13-1000,99-9000
System Design and Implementation,15-1200,13-1000,11-9000,17-2000,99-9000
Systems Administration,15-1200,99-9000,13-1000,17-2000,11-9000
Tax,13-2000,11-3000,43-3000,99-9000,11-9000
Teaching,25-2000,15-1200,11-9000,25-1000,29-1000
Technical Support and Services,15-1200,99-9000,13-1000,49-9000,11-9000
Telecommunications,15-1200,29-1000,11-9000,43-4000,41-4000
Telecommunications Equipment and Installation,15-1200,49-9000,49-2000,99-9000,17-3000
Test Automation,15-1200,99-9000,17-2000,11-9000,11-3000
