,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs,model,Normalized RMSE
Skill subcat: Business Analysis,0.059236223814672,0.0461415079017714,-22.105926187781773,16219.979166666666,predicted job posting shares 22_58_01_10_05_2023 VAR top grid search runs #9 lvl subcategory,0.0071271617350878
Skill subcat: Business Communications,0.0190254140296924,0.0164631416174603,-13.467630235185618,5444.583333333333,predicted job posting shares 22_58_01_10_05_2023 VAR top grid search runs #9 lvl subcategory,0.0131374537106207
Skill subcat: Business Consulting,0.0376427537990453,0.0407122942443118,8.1543992813415,10623.375,predicted job posting shares 04_44_13_11_05_2023 VAR top grid search runs #15 lvl subcategory,0.0185305760424803
Skill subcat: Business Continuity,0.0097148466534815,0.0101571889365585,4.553260579964766,2752.0,predicted job posting shares 17_12_47_10_05_2023 VAR top grid search runs #3 lvl subcategory,0.0098486219994545
Skill subcat: Business Intelligence,0.0280046618751476,0.0237924571184855,-15.041084143208929,8183.645833333333,predicted job posting shares 16_11_33_10_05_2023 VAR top grid search runs #1 lvl subcategory,0.0259418529587737
Skill subcat: Business Intelligence Software,0.021232604663632,0.0304382874659916,43.35635193230645,5877.083333333333,predicted job posting shares 13_36_26_09_05_2023 ARIMA top grid search runs #0 lvl subcategory,0.0146774920329036
Skill subcat: Business Leadership,0.0225651958410023,0.0436792704988023,93.56920634136254,6176.8125,predicted job posting shares 06_01_09_11_05_2023 VAR top grid search runs #19 lvl subcategory,0.0152382070676163
Skill subcat: Business Management,0.266558763061983,0.2674649137478885,0.3399440616757311,82133.54166666667,predicted job posting shares 16_01_39_10_05_2023 VAR top grid search runs #0 lvl subcategory,0.0052180977912939
Skill subcat: Business Operations,0.2390330028808981,0.2108090288692898,-11.80756367172919,70502.77083333333,predicted job posting shares 17_12_47_10_05_2023 VAR top grid search runs #3 lvl subcategory,0.0033404962423017
Skill subcat: Business Solutions,0.0450024028164655,0.0582375166536022,29.40979371949053,13014.875,predicted job posting shares 01_17_54_11_05_2023 VAR top grid search runs #12 lvl subcategory,0.0112245110926656
Skill subcat: Business Strategy,0.074792997381851,0.0599819506322365,-19.80271852724075,22409.83333333333,predicted job posting shares 14_16_37_09_05_2023 ARIMA top grid search runs #10 lvl subcategory,0.0246476569441928
Skill subcat: Business-to-Business (B2B) Sales,0.0180583752144933,0.0176421210491047,-2.3050477157796707,5532.229166666667,predicted job posting shares 21_45_23_10_05_2023 VAR top grid search runs #7 lvl subcategory,0.0054673360265571
Skill subcat: C and C++,0.0083298251598857,0.0076030908447825,-8.724484621873762,2552.270833333333,predicted job posting shares 05_42_30_11_05_2023 VAR top grid search runs #18 lvl subcategory,0.0177402979409271
Skill subcat: Cannabis,0.0011947493878447,0.000824311734479,-31.005469191657088,256.8125,predicted job posting shares 23_16_01_10_05_2023 VAR top grid search runs #10 lvl subcategory,0.0072546539099248
Skill subcat: Cardiology,0.0075209154387128,0.0075232129333602,0.0305480717888988,2361.083333333333,predicted job posting shares 06_01_09_11_05_2023 VAR top grid search runs #19 lvl subcategory,0.0314142124306669
Skill subcat: Carpentry,0.0076474454193267,0.0112250030168903,46.78108049679389,2439.5,predicted job posting shares 05_17_04_11_05_2023 VAR top grid search runs #16 lvl subcategory,0.00825012691008
Skill subcat: Cash Management,0.0072450744613924,0.0068925578291261,-4.865603992682101,2190.9791666666665,predicted job posting shares 17_12_47_10_05_2023 VAR top grid search runs #3 lvl subcategory,0.0207097667722405
Skill subcat: Cash Register Operation,0.0478492693880934,0.0510344578272395,6.656712798082322,13874.166666666666,predicted job posting shares 21_45_23_10_05_2023 VAR top grid search runs #7 lvl subcategory,0.0063425055290862
Skill subcat: Chemical and Biomedical Engineering,0.0027698339895592,0.002841769626335,2.59711004511314,693.3541666666666,predicted job posting shares 17_12_47_10_05_2023 VAR top grid search runs #3 lvl subcategory,0.0182686321394797
Skill subcat: Chemistry,0.0089165978422334,0.0108086068388556,21.218956266713228,2520.0,predicted job posting shares 02_29_39_11_05_2023 VAR top grid search runs #13 lvl subcategory,0.0148312299721668
Skill subcat: Child Care,0.0004773071832056,0.0005195564817796,8.851594960346757,168.89583333333334,predicted job posting shares 13_36_26_09_05_2023 ARIMA top grid search runs #0 lvl subcategory,0.1716515132773168
Skill subcat: Childhood Education and Development,0.0166509941245785,0.0143783935508943,-13.648437785042622,5685.291666666667,predicted job posting shares 05_42_30_11_05_2023 VAR top grid search runs #18 lvl subcategory,0.0602081724087947
Skill subcat: Circuitry,0.0025982967720412,0.0032682938722066,25.78601133538168,886.9791666666666,predicted job posting shares 16_01_39_10_05_2023 VAR top grid search runs #0 lvl subcategory,0.0515146254162851
