,Skill subcat: Microsoft Development Tools,Skill subcat: Software Development,Skill subcat: Application Programming Interface (API),Skill subcat: Basic Electrical Systems,Skill subcat: Identity and Access Management,Skill subcat: Interior Design,Skill subcat: Animation and Game Design,Skill subcat: Digital Design,Skill subcat: Drafting and Engineering Design,Skill subcat: Photo/Video Production and Technology,Skill subcat: People Management,Skill subcat: Art and Illustration,Skill subcat: Graphic and Visual Design Software
2023-06-01,7.831301300881434e-05,0.02457406178159513,0.002892754161865038,0.09406832631450318,0.002375904664363173,0.000640277115153455,0.00015820441773661324,0.0015681378928600347,0.18497542334548395,0.0028138615609424257,0.04205161812990788,0.0006755251238527246,0.0007408154507910641
2023-07-01,7.346156591540393e-05,0.0238502080702514,0.0028927541618640846,0.09455008697182221,0.0023759046643625228,0.0005841326029790272,0.00015820441773661318,0.0015681378928600884,0.18568327596229206,0.003015172131394884,0.04185452793436785,0.000675525123853047,0.0007408154507910733
2023-08-01,7.471884942624173e-05,0.023133225208475577,0.0028927541618666217,0.09504373848771533,0.0023759046643617348,0.0005275045273411919,0.00015820441773661316,0.0015681378928601843,0.1863010190587443,0.0031573427510126436,0.04192335536155335,0.0006755251238532398,0.0007408154507910728
2023-09-01,8.059655256264459e-05,0.0224267161521651,0.0028927541618693556,0.09547665256613225,0.002375904664361214,0.0004603044099240232,0.00015820441773661316,0.0015681378928602714,0.1868593061040316,0.0033160307082637807,0.04197283137384771,0.0006755251238533157,0.0007408154507910685
2023-10-01,8.888069803948402e-05,0.021728213773501426,0.0028927541618693556,0.0958778114345527,0.002375904664361214,0.0003840280366369228,0.00015820441773661316,0.0015681378928602714,0.1874836472290506,0.003529492398646715,0.042244232353847444,0.0006755251238533157,0.0007408154507910685
2023-11-01,9.788388400264097e-05,0.021027790506508826,0.0028927541618693556,0.09630933162482003,0.002375904664361214,0.00031548421570764987,0.00015820441773661316,0.0015681378928602714,0.1880798364601801,0.003739424177385305,0.042585368403048544,0.0006755251238533157,0.0007408154507910685
2023-12-01,0.00010531053404165006,0.020322108361217894,0.0028927541618693556,0.09677197530151788,0.002375904664361214,0.00027017252321679373,0.00015820441773661316,0.0015681378928602714,0.18861262974469456,0.0038831885004116007,0.04274577245283512,0.0006755251238533157,0.0007408154507910685
2024-01-01,0.00011086333066206338,0.019618926823504357,0.0028927541618693556,0.09722831921549135,0.002375904664361214,0.0002532377324531307,0.00015820441773661316,0.0015681378928602714,0.18915333330998005,0.003988224153749233,0.04294014943955149,0.0006755251238533157,0.0007408154507910685
2024-02-01,0.00011558664031842631,0.018924818672756638,0.0028927541618693556,0.09765759156591303,0.002375904664361214,0.0002643191808543873,0.00015820441773661316,0.0015681378928602714,0.1897205729523026,0.004124541277479194,0.042954662682966965,0.0006755251238533157,0.0007408154507910685
2024-03-01,0.00011976771784102717,0.018237237545115276,0.0028927541618693556,0.09807914885716662,0.002375904664361214,0.00030148496544196756,0.00015820441773661316,0.0015681378928602714,0.19025292580029932,0.004292856841518531,0.04279574594707089,0.0006755251238533157,0.0007408154507910685
2024-04-01,0.00012419847604740327,0.017546268045675828,0.0028927541618693556,0.09851500933789153,0.002375904664361214,0.00035865331847212824,0.00015820441773661316,0.0015681378928602714,0.19075011019664942,0.004424676439553074,0.04273017715037466,0.0006755251238533157,0.0007408154507910685
2024-05-01,0.00012924548050573747,0.01685632731555342,0.0028927541618693556,0.09895920578931938,0.002375904664361214,0.00042471949265770917,0.00015820441773661316,0.0015681378928602714,0.19127788605258905,0.004490029998541527,0.04260145625695924,0.0006755251238533157,0.0007408154507910685
2024-06-01,0.0001338620994253369,0.016170877987840948,0.0028927541618693556,0.09939963577389635,0.002375904664361214,0.000488625569614154,0.00015820441773661316,0.0015681378928602714,0.19179749653264255,0.004541012897738699,0.042570353790303425,0.0006755251238533157,0.0007408154507910685
2024-07-01,0.00013737854977409516,0.015489859528699579,0.0028927541618693556,0.09982839334293758,0.002375904664361214,0.0005444713550495782,0.00015820441773661316,0.0015681378928602714,0.19227652152646335,0.004627183169122518,0.042748190987684925,0.0006755251238533157,0.0007408154507910685
2024-08-01,0.00013932199912474174,0.01481218577795576,0.0028927541618693556,0.10025438942260939,0.002375904664361214,0.0005909594229167003,0.00015820441773661316,0.0015681378928602714,0.19275845799291164,0.004718550566980302,0.04290959220769073,0.0006755251238533157,0.0007408154507910685
2024-09-01,0.00013914082510765952,0.014136042530845022,0.0028927541618693556,0.10068642065266362,0.002375904664361214,0.000627166202141671,0.00015820441773661316,0.0015681378928602714,0.19324837042914733,0.0047546389131207,0.04317191177981862,0.0006755251238533157,0.0007408154507910685
2024-10-01,0.00013735004094155064,0.013461381094648311,0.0028927541618693556,0.10112130139093645,0.002375904664361214,0.0006501393628362512,0.00015820441773661316,0.0015681378928602714,0.19371498030053735,0.004739106984498326,0.0434426148520119,0.0006755251238533157,0.0007408154507910685
2024-11-01,0.0001346994879070044,0.012789929451491072,0.0028927541618693556,0.10155236355701913,0.002375904664361214,0.0006561184403143928,0.00015820441773661316,0.0015681378928602714,0.1941616420495376,0.004731497646682711,0.04353408503789987,0.0006755251238533157,0.0007408154507910685
2024-12-01,0.00013158710362923742,0.01212251753526139,0.0028927541618693556,0.10197838898501135,0.002375904664361214,0.0006428063462301217,0.00015820441773661316,0.0015681378928602714,0.1946159723157433,0.004753123113305862,0.04360163671777539,0.0006755251238533157,0.0007408154507910685
2025-01-01,0.0001286547498185442,0.011458085164570836,0.0028927541618693556,0.10240376717094293,0.002375904664361214,0.0006104140232362095,0.00015820441773661316,0.0015681378928602714,0.19506522137244303,0.0047561921737881005,0.04354931388142397,0.0006755251238533157,0.0007408154507910685
2025-02-01,0.00012610330509103167,0.01079517182318343,0.0028927541618693556,0.10283108240712627,0.002375904664361214,0.0005619305070843392,0.00015820441773661316,0.0015681378928602714,0.19548999337233755,0.004701101188692616,0.043386093871679576,0.0006755251238533157,0.0007408154507910685
2025-03-01,0.00012364458048844945,0.010134842446058306,0.0028927541618693556,0.10325837735685894,0.002375904664361214,0.0005034531474306029,0.00015820441773661316,0.0015681378928602714,0.19591184121068353,0.0046181385779479256,0.04331693122319237,0.0006755251238533157,0.0007408154507910685
2025-04-01,0.00012127234169721761,0.009477665853611456,0.0028927541618693556,0.10368353849822581,0.002375904664361214,0.00044366317451906626,0.00015820441773661316,0.0015681378928602714,0.1963360099071748,0.004558837967921347,0.04325095890594325,0.0006755251238533157,0.0007408154507910685
2025-05-01,0.00011891101017454815,0.008823469972175674,0.0028927541618693556,0.10410613716461944,0.002375904664361214,0.00039150995106444205,0.00015820441773661316,0.0015681378928602714,0.1967443899191284,0.004516575315193802,0.043266083002788565,0.0006755251238533157,0.0007408154507910685
2025-06-01,0.00011650178960634736,0.008171959431318848,0.0028927541618693556,0.10452810249487154,0.002375904664361214,0.00035337582029447087,0.00015820441773661316,0.0015681378928602714,0.19714007967452074,0.004440481089972303,0.043434246226820405,0.0006755251238533157,0.0007408154507910685
2025-07-01,0.0001143992404228128,0.007522839984519081,0.0028927541618693556,0.10495040662470695,0.002375904664361214,0.0003319161958304389,0.00015820441773661316,0.0015681378928602714,0.19753600382594694,0.004317295869522301,0.04358244439667325,0.0006755251238533157,0.0007408154507910685
2025-08-01,0.00011283857984924794,0.006876210964565976,0.0028927541618693556,0.1053720369164193,0.002375904664361214,0.00032694914418511533,0.00015820441773661316,0.0015681378928602714,0.1979261640204056,0.004191858751239178,0.043760208647061476,0.0006755251238533157,0.0007408154507910685
2025-09-01,0.00011190185383076347,0.006232406275686886,0.0028927541618693556,0.10579200915198872,0.002375904664361214,0.0003369112119659994,0.00015820441773661316,0.0015681378928602714,0.1983015216443175,0.0040970835494025856,0.04391907254737139,0.0006755251238533157,0.0007408154507910685
